hair dryer
,dislike,neutral,like,ttotal
useful,0.033391455972101136,0.17079337401918046,0.6451612903225806,0.8493461203138623
useless,0.002092414995640802,0.012031386224934612,0.13653007846556234,0.15056669572798606
total,0.035483870967741936,0.1828247602441151,0.7816913687881429,1
microwave
,dislike,neutral,like,ttotal
useful,0.31455108359133127,0.0718266253869969,0.4848297213622291,0.8712074303405573
useless,0.005572755417956657,0.005572755417956657,0.11764705882352941,0.1281733746130031
total,0.3201238390092879,0.07739938080495357,0.6024767801857586,1
pacifier
,dislike,neutral,like,ttotal
useful,0.08374696377653396,0.017636498046256204,0.1544513676206569,0.25583482944344704
useless,0.08443341429929242,0.011986482205090295,0.6477452740521702,0.744165170556553
total,0.1681803780758264,0.0296229802513465,0.8021966416728271,1
